Day,Phase,Topic,Type,Status,Notes
1,HTML (Days 1-10),Intro to Web + HTML basics,Learn,Not Started,
2,HTML (Days 1-10),"Tags (heading, p, links, images)",Learn,Not Started,
3,HTML (Days 1-10),Lists + tables,Learn,Not Started,
4,HTML (Days 1-10),"Forms (input, button, label)",Learn,Not Started,
5,HTML (Days 1-10),Semantic HTML,Learn,Not Started,
6,HTML (Days 1-10),SEO basics,Learn,Not Started,
7,HTML (Days 1-10),Accessibility,Learn,Not Started,
8,HTML (Days 1-10),Practice pages,Practice,Not Started,
9,HTML (Days 1-10),Practice pages,Practice,Not Started,
10,HTML (Days 1-10),🚀 Project: Portfolio (HTML only),Project,Not Started,
11,CSS (Days 11-25),"CSS basics (selectors, colors)",Learn,Not Started,
12,CSS (Days 11-25),Box model,Learn,Not Started,
13,CSS (Days 11-25),Flexbox,Learn,Not Started,
14,CSS (Days 11-25),Grid,Learn,Not Started,
15,CSS (Days 11-25),Typography + spacing,Learn,Not Started,
16,CSS (Days 11-25),Positioning,Learn,Not Started,
17,CSS (Days 11-25),Responsive design,Learn,Not Started,
18,CSS (Days 11-25),Media queries,Learn,Not Started,
19,CSS (Days 11-25),Animations,Learn,Not Started,
20,CSS (Days 11-25),Transitions,Learn,Not Started,
21,CSS (Days 11-25),Pseudo classes/elements,Learn,Not Started,
22,CSS (Days 11-25),CSS variables,Learn,Not Started,
23,CSS (Days 11-25),Practice layouts,Practice,Not Started,
24,CSS (Days 11-25),Practice layouts,Practice,Not Started,
25,CSS (Days 11-25),🚀 Project: Responsive Website,Project,Not Started,
26,JavaScript Basics (Days 26-37),JS intro + variables,Learn,Not Started,
27,JavaScript Basics (Days 26-37),Data types,Learn,Not Started,
28,JavaScript Basics (Days 26-37),Operators,Learn,Not Started,
29,JavaScript Basics (Days 26-37),Conditionals,Learn,Not Started,
30,JavaScript Basics (Days 26-37),Loops,Learn,Not Started,
31,JavaScript Basics (Days 26-37),Functions,Learn,Not Started,
32,JavaScript Basics (Days 26-37),Arrays,Learn,Not Started,
33,JavaScript Basics (Days 26-37),Objects,Learn,Not Started,
34,JavaScript Basics (Days 26-37),DOM basics,Learn,Not Started,
35,JavaScript Basics (Days 26-37),Events,Learn,Not Started,
36,JavaScript Basics (Days 26-37),DOM manipulation,Learn,Not Started,
37,JavaScript Basics (Days 26-37),Local storage,Learn,Not Started,
38,JS Practice (Days 38-45),Solve 5-10 problems daily (arrays & objects),Practice,Not Started,
39,JS Practice (Days 38-45),Solve 5-10 problems daily (loops & functions),Practice,Not Started,
40,JS Practice (Days 38-45),Practice on LeetCode / CodeWars,Practice,Not Started,
41,JS Practice (Days 38-45),Practice on LeetCode / CodeWars,Practice,Not Started,
42,JS Practice (Days 38-45),Practice on LeetCode / CodeWars,Practice,Not Started,
43,JS Practice (Days 38-45),Practice on LeetCode / CodeWars,Practice,Not Started,
44,JS Practice (Days 38-45),Practice on LeetCode / CodeWars,Practice,Not Started,
45,JS Practice (Days 38-45),🚀 Project: To-Do App,Project,Not Started,
46,Advanced JS (Days 46-55),"ES6 (let, const, arrow fn)",Learn,Not Started,
47,Advanced JS (Days 46-55),Destructuring,Learn,Not Started,
48,Advanced JS (Days 46-55),Spread/rest,Learn,Not Started,
49,Advanced JS (Days 46-55),Promises,Learn,Not Started,
50,Advanced JS (Days 46-55),Async/Await,Learn,Not Started,
51,Advanced JS (Days 46-55),Fetch API,Learn,Not Started,
52,Advanced JS (Days 46-55),Error handling,Learn,Not Started,
53,Advanced JS (Days 46-55),Closures,Learn,Not Started,
54,Advanced JS (Days 46-55),Hoisting,Learn,Not Started,
55,Advanced JS (Days 46-55),Event delegation,Learn,Not Started,
56,Practice + Mini Apps (Days 56-65),Build small apps daily,Practice,Not Started,
57,Practice + Mini Apps (Days 56-65),Counter App,Practice,Not Started,
58,Practice + Mini Apps (Days 56-65),Calculator,Practice,Not Started,
59,Practice + Mini Apps (Days 56-65),Quiz App,Practice,Not Started,
60,Practice + Mini Apps (Days 56-65),Digital Clock,Practice,Not Started,
61,Practice + Mini Apps (Days 56-65),Mini app practice,Practice,Not Started,
62,Practice + Mini Apps (Days 56-65),Mini app practice,Practice,Not Started,
63,Practice + Mini Apps (Days 56-65),Mini app practice,Practice,Not Started,
64,Practice + Mini Apps (Days 56-65),Mini app practice,Practice,Not Started,
65,Practice + Mini Apps (Days 56-65),🚀 Project: Weather App (API),Project,Not Started,
66,Tools + Git (Days 66-70),Git basics,Learn,Not Started,
67,Tools + Git (Days 66-70),GitHub workflow,Learn,Not Started,
68,Tools + Git (Days 66-70),VS Code mastery,Learn,Not Started,
69,Tools + Git (Days 66-70),NPM basics,Learn,Not Started,
70,Tools + Git (Days 66-70),🚀 Task: Push all projects to GitHub,Project,Not Started,
71,React JS (Days 71-83),React intro,Learn,Not Started,
72,React JS (Days 71-83),JSX,Learn,Not Started,
73,React JS (Days 71-83),Components,Learn,Not Started,
74,React JS (Days 71-83),Props,Learn,Not Started,
75,React JS (Days 71-83),State,Learn,Not Started,
76,React JS (Days 71-83),Events,Learn,Not Started,
77,React JS (Days 71-83),Conditional rendering,Learn,Not Started,
78,React JS (Days 71-83),Lists + keys,Learn,Not Started,
79,React JS (Days 71-83),Forms,Learn,Not Started,
80,React JS (Days 71-83),useEffect,Learn,Not Started,
81,React JS (Days 71-83),API calls,Learn,Not Started,
82,React JS (Days 71-83),React Router,Learn,Not Started,
83,React JS (Days 71-83),Context API,Learn,Not Started,
84,React Practice + Mini Apps (Days 84-100),Create reusable components,Practice,Not Started,
85,React Practice + Mini Apps (Days 84-100),Build UI with props & state,Practice,Not Started,
86,React Practice + Mini Apps (Days 84-100),Todo App (React),Practice,Not Started,
87,React Practice + Mini Apps (Days 84-100),Weather App (API),Practice,Not Started,
88,React Practice + Mini Apps (Days 84-100),Notes App,Practice,Not Started,
89,React Practice + Mini Apps (Days 84-100),React mini project,Practice,Not Started,
90,React Practice + Mini Apps (Days 84-100),React mini project,Practice,Not Started,
91,React Practice + Mini Apps (Days 84-100),React mini project,Practice,Not Started,
92,React Practice + Mini Apps (Days 84-100),React mini project,Practice,Not Started,
93,React Practice + Mini Apps (Days 84-100),React mini project,Practice,Not Started,
94,React Practice + Mini Apps (Days 84-100),React mini project,Practice,Not Started,
95,React Practice + Mini Apps (Days 84-100),React mini project,Practice,Not Started,
96,React Practice + Mini Apps (Days 84-100),React mini project,Practice,Not Started,
